dt,x,y,position,velocity,acceleration,jerk,heading
1.000000,3.742706,3.474073,2.070333,4.140666,4.140666,4.140666,0.326764
1.000000,5.744397,2.212737,4.997922,1.714511,-2.426154,-6.566820,4.837093
1.000000,5.791473,1.357322,5.855177,0.000000,-1.714511,0.711643,4.712389
1.000000,5.791473,1.357322,5.855177,0.000000,0.000000,1.714511,4.712389
