dt,x,y,position,velocity,acceleration,jerk,heading
1.000000,3.903196,3.000530,2.070333,4.140666,4.140666,4.140666,0.326764
1.000000,5.248280,2.150547,3.661472,1.591139,-2.549527,-6.690193,4.837093
1.000000,5.291473,1.357322,4.455872,0.794400,-0.796739,1.752789,4.712389
1.000000,5.291473,1.357322,4.455872,0.000000,-0.794400,0.002339,4.712389
